ID,site,lat,lon
1,ES-Cnd,37.915,-3.2277
2,CZ-wet,49.0247,14.7704
3,DE-Akm,53.8662,13.6834
4,FI-Sii,61.8327,24.1929
5,FR-LGt,47.3229,2.2841
6,IE-Cra,53.323,-7.6418
8,SE-Deg,64.182,19.5565
10,ES-Abr,38.7018,-6.7859
11,ES-LM1,39.9427,-5.7787
12,ES-LM2,39.9346,-5.7759
13,ES-Agu,36.94,-2.0332
14,ES-LJu,36.9266,-2.7521
15,IT-Lsn,45.7405,12.7503
16,BE-Vie,50.3049,5.9981
17,CH-Lae,47.4783,8.3644
18,CZ-Lnz,48.6816,16.9463
19,FR-FBn,43.2408,5.6787
20,IT-Cp2,41.7043,12.3573
21,BE-Dor,50.3114,4.9686
22,CH-Aws,46.5832,9.7904
23,CH-Cha,47.2102,8.4104
24,CH-Fru,47.1158,8.5378
25,DE-Gri,50.95,13.5126
26,DE-RuR,50.6219,6.3041
27,FR-Tou,43.5729,1.3747
28,IT-MBo,46.0147,11.0458
29,IT-Tor,45.8444,7.5781
30,BE-Bra,51.3076,4.5198
31,CH-Dav,46.8153,9.8559
32,CZ-BK1,49.5021,18.5369
33,CZ-RAJ,49.4437,16.6965
34,DE-Obe,50.7867,13.7213
35,DE-RuW,50.5049,6.331
36,DE-Tha,50.9626,13.5651
37,DK-Gds,56.0737,9.3341
38,FI-Hyy,61.8474,24.2948
39,FI-Ken,67.9872,24.2431
40,FI-Let,60.6418,23.9595
41,FI-Var,67.7549,29.61
42,FR-Bil,44.4937,-0.9561
43,IT-Lav,45.9562,11.2813
44,IT-Ren,46.5869,11.4337
45,IT-SR2,43.732,10.2909
46,RU-Fy2,56.4476,32.9019
47,RU-Fyo,56.4615,32.9221
48,SE-Htm,56.0976,13.419
49,SE-Nor,60.0865,17.4795
50,SE-Ros,64.1725,19.738
51,SE-Svb,64.2561,19.7745
53,BE-Lcr,51.1122,3.8504
54,CZ-Stn,49.036,17.9699
55,DE-Hai,51.0794,10.4521
56,DE-HoH,52.0866,11.2224
57,DE-Hzd,50.9638,13.4898
58,DK-Sor,55.4859,11.6446
59,FR-Fon,48.4764,2.7801
60,FR-Hes,48.6741,7.0647
61,IT-BFt,45.1978,10.742
62,BE-Maa,50.9799,5.6319
63,BE-Lon,50.5516,4.7462
64,CH-Oe2,47.2864,7.7337
65,CZ-KrP,49.5733,15.0788
66,DE-Geb,51.0997,10.9146
67,DE-Kli,50.8931,13.5224
68,DE-RuS,50.8659,6.4472
69,FI-Qvd,60.2952,22.3916
70,FR-Aur,43.5497,1.1061
71,FR-Gri,48.8442,1.9519
72,FR-Lam,43.4964,1.2379
73,IT-BCi,40.5237,14.9574
74,UK-AMo,55.7925,-3.2436
75,SE-Sto,68.3559,19.0452
76,SE-Myc,58.365,12.1694
77,NO-Hur,60.3724,11.0781
78,NL-Loo,52.1666,5.7436
79,IT-PCm,40.8741,14.2504
80,IT-Noe,40.6062,8.1517
81,IT-Niv,45.4909,7.1394
82,FR-Pue,43.7413,3.5957
83,FR-MsS,48.5382,5.3119
84,FR-Mej,48.1184,-1.7964
85,FR-Lus,46.4142,0.1207
86,FR-Lqu,45.6444,2.7349
87,FR-EM2,49.8721,3.0207
88,FR-CLt,45.0414,6.4105
89,FI-Sod,67.3624,26.6386
90,FI-Lom,67.9972,24.2092
91,FI-Kvr,61.8466,24.2804
92,FI-Kmp,60.2029,24.9611
93,DK-Vng,56.0375,9.1607
94,DK-Skj,55.9127,8.4048
95,DK-RCW,55.6807,12.1014
96,DE-SfN,47.8064,11.3275
97,DE-Okd,53.4126,9.0925
98,DE-Msr,47.8092,11.4562
99,DE-Kie,52.9734,13.6439
100,DE-Har,47.933,7.5981
101,DE-Gwg,47.5708,11.0326
102,DE-GsB,52.0296,11.1048
103,DE-Fen,47.8329,11.0606
104,DE-Brs,52.2966,10.4487
